,name,github_id,labels,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,github_release_downloads,monthly_downloads,projectrank_placing,trending,doc_url
0,Best-of-Robotics-Simulators,knmcguire/best-of-robot-simulators,[],True,AirSim,https://github.com/knmcguire/best-of-robot-simulators,https://github.com/knmcguire/best-of-robot-simulators,CC-BY-SA-4.0,2025-04-09 08:06:08,2026-05-14 07:08:07,2026-05-14 07:08:07,203,14.0,93,18,120.0,17.0,122.0,1321,2026-05-14 07:08:34,2026.05.13,57.0,"A Best-of-list of Robot Simulators, re-generated weekly on Wednesdays.",13,0,True,,,,,
1,WeBots,cyberbotics/webots,[],,AirSim,https://github.com/cyberbotics/webots,https://www.cyberbotics.com/,Apache-2.0,2018-11-05 14:09:10,2026-05-13 23:35:14,2026-05-04 13:30:21,15746,10.0,1941,76,4701.0,230.0,1677.0,4356,2025-02-04 12:36:33,R2025a,17.0,Webots Robot Simulator.,143,28,True,1858149.0,20878.0,1.0,-1.0,
2,Nav2,ros-navigation/navigation2,[],,Algorithms,https://github.com/ros-navigation/navigation2,https://github.com/ros-navigation/navigation2,,2018-05-29 23:35:08,2026-05-14 18:28:27,2026-05-14 18:28:26,3540,83.0,1782,68,3589.0,64.0,2481.0,4256,2026-04-29 23:30:40,1.3.12,82.0,ROS 2 Navigation Framework and System.,377,25,True,,,1.0,,
3,Gazebo,gazebosim/gz-sim,[],,AirSim,https://github.com/gazebosim/gz-sim,https://github.com/gazebosim/gz-sim,Apache-2.0,2020-04-15 09:17:50,2026-05-14 18:31:16,2026-05-13 21:01:01,7504,47.0,402,21,2467.0,471.0,620.0,1340,2025-10-14 04:14:45,gz-sim10_10.0.0,7.0,Open source robotics simulator. The latest version of Gazebo.,180,23,True,,,2.0,2.0,https://gazebosim.org/api/sim/9/
4,Cosys-AirSim,Cosys-Lab/Cosys-AirSim,[],,AirSim,https://github.com/Cosys-Lab/Cosys-AirSim,https://cosys-lab.github.io/Cosys-AirSim/,mit,2022-08-22 09:24:58,2026-03-18 12:48:20,2026-01-14 13:58:11,5162,,119,11,36.0,48.0,41.0,361,2025-04-16 10:16:26,5.5-v3.3,10.0,"AirSim is a simulator for drones, cars and more, built on Unreal Engine. We expand it with new implementations and..",262,19,True,12466.0,498.0,2.0,-3.0,
5,Isaac Sim,isaac-sim/IsaacSim,[],,AirSim,https://github.com/isaac-sim/IsaacSim,https://developer.nvidia.com/isaac/sim,Apache 2.0 and NVIDIA Omniverse License Agreement,2025-05-28 18:38:18,2026-03-31 00:56:43,2025-11-20 23:21:27,32,,426,20,20.0,58.0,316.0,3202,2025-10-21 19:49:18,5.1.0,4.0,"NVIDIA Isaac Sim is an open-source application on NVIDIA Omniverse for developing, simulating, and testing AI-driven..",5,16,True,,,3.0,6.0,
6,Isaac Visual Slam,NVIDIA-ISAAC-ROS/isaac_ros_visual_slam,[],,Algorithms,https://github.com/NVIDIA-ISAAC-ROS/isaac_ros_visual_slam,https://github.com/NVIDIA-ISAAC-ROS/isaac_ros_visual_slam,Apache-2.0,2021-10-13 23:07:14,2026-05-01 03:46:50,2026-05-01 03:13:37,72,6.0,192,19,40.0,68.0,109.0,1353,2026-05-01 03:46:51,4.4-0,21.0,Visual SLAM/odometry package based on NVIDIA-accelerated cuVSLAM.,6,16,True,,,3.0,2.0,
7,Pegasus Simulator,PegasusSimulator/PegasusSimulator,[],,AirSim,https://github.com/PegasusSimulator/PegasusSimulator,https://pegasussimulator.github.io/PegasusSimulator/,BSD-3-Clause,2023-02-27 08:58:27,2026-04-28 10:01:37,2026-04-28 10:01:33,232,7.0,159,13,58.0,36.0,40.0,787,2025-10-26 16:49:55,5.1.0,8.0,A framework built on top of NVIDIA Isaac Sim for simulating drones with PX4 support and much more.,6,16,True,,,3.0,1.0,
8,Aerial Gym Simulator,ntnu-arl/aerial_gym_simulator,[],,AirSim,https://github.com/ntnu-arl/aerial_gym_simulator,https://ntnu-arl.github.io/aerial_gym_simulator/,BSD-3-Clause,2023-04-04 20:48:46,2026-01-22 12:08:30,2026-01-22 12:07:51,65,,113,16,14.0,11.0,35.0,710,2025-04-28 07:50:13,2.0.0,2.0,Aerial Gym Simulator - Isaac Gym Simulator for Aerial Robots.,4,13,True,,,3.0,-2.0,
9,Swarm Sync Sim,shupx/swarm_sync_sim,[],,AirSim,https://github.com/shupx/swarm_sync_sim,https://github.com/shupx/swarm_sync_sim,BSD-3-Clause,2024-10-27 06:09:01,2025-05-13 08:57:41,2025-03-18 12:46:41,197,,2,2,,,,20,,,,"swarm_sync_sim (also known as sss) is an ultra-lightweight, ROS-based simulator for robotic swarms, including..",6,6,False,,,3.0,-1.0,
