,name,github_id,labels,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,github_release_downloads,monthly_downloads,projectrank_placing,trending,doc_url
0,Best-of-Robotics-Simulators,knmcguire/best-of-robot-simulators,[],True,AirSim,https://github.com/knmcguire/best-of-robot-simulators,https://github.com/knmcguire/best-of-robot-simulators,CC-BY-SA-4.0,2025-04-09 08:06:08,2025-12-03 11:53:27,2025-12-03 11:53:27,176,19.0,69,15,93.0,15.0,121.0,1050,2025-12-03 11:53:51,2025.12.03,35.0,"A Best-of-list of Robot Simulators, re-generated weekly on Wednesdays.",9,0,True,,,,,
1,WeBots,cyberbotics/webots,[],,AirSim,https://github.com/cyberbotics/webots,https://www.cyberbotics.com/,Apache-2.0,2018-11-05 14:09:10,2025-12-03 23:15:52,2025-11-27 17:32:29,15730,2.0,1842,71,4667.0,239.0,1655.0,3929,2025-02-04 12:36:33,R2025a,17.0,Webots Robot Simulator.,141,26,True,1768199.0,21049.0,1.0,-3.0,
2,Nav2,ros-navigation/navigation2,[],,Algorithms,https://github.com/ros-navigation/navigation2,https://github.com/ros-navigation/navigation2,,2018-05-29 23:35:08,2025-12-04 18:17:08,2025-12-04 18:17:07,3377,86.0,1615,63,3334.0,93.0,2324.0,3690,2025-11-17 17:49:32,1.1.20,80.0,ROS 2 Navigation Framework and System.,337,25,True,,,1.0,,
3,Gazebo,gazebosim/gz-sim,[],,AirSim,https://github.com/gazebosim/gz-sim,https://github.com/gazebosim/gz-sim,Apache-2.0,2020-04-15 09:17:50,2025-12-04 10:13:04,2025-11-19 02:16:29,7392,32.0,350,18,2172.0,447.0,589.0,1133,2025-10-14 04:14:45,gz-sim10_10.0.0,7.0,Open source robotics simulator. The latest version of Gazebo.,167,22,True,,,2.0,1.0,https://gazebosim.org/api/sim/9/
4,Cosys-AirSim,Cosys-Lab/Cosys-AirSim,[],,AirSim,https://github.com/Cosys-Lab/Cosys-AirSim,https://cosys-lab.github.io/Cosys-AirSim/,mit,2022-08-22 09:24:58,2025-10-31 13:20:59,2025-10-03 12:09:39,5161,23.0,91,10,34.0,39.0,40.0,261,2025-04-16 10:16:26,5.5-v3.3,10.0,"AirSim is a simulator for drones, cars and more, built on Unreal Engine. We expand it with new implementations and..",261,20,True,8651.0,432.0,2.0,-2.0,
5,Isaac Sim,isaac-sim/IsaacSim,[],,AirSim,https://github.com/isaac-sim/IsaacSim,https://developer.nvidia.com/isaac/sim,Apache 2.0 and NVIDIA Omniverse License Agreement,2025-05-28 18:38:18,2025-11-20 23:34:10,2025-11-20 23:21:27,32,4.0,250,18,15.0,81.0,151.0,2059,2025-10-21 19:49:18,5.1.0,2.0,"NVIDIA Isaac Sim is an open-source application on NVIDIA Omniverse for developing, simulating, and testing AI-driven..",5,17,True,,,3.0,7.0,
6,Pegasus Simulator,PegasusSimulator/PegasusSimulator,[],,AirSim,https://github.com/PegasusSimulator/PegasusSimulator,https://pegasussimulator.github.io/PegasusSimulator/,BSD-3-Clause,2023-02-27 08:58:27,2025-11-21 16:52:28,2025-11-21 16:52:28,222,6.0,120,13,44.0,25.0,37.0,644,2025-10-26 16:49:55,5.1.0,8.0,A framework built on top of NVIDIA Isaac Sim for simulating drones with PX4 support and much more.,6,16,True,,,3.0,1.0,
7,Isaac Visual Slam,NVIDIA-ISAAC-ROS/isaac_ros_visual_slam,[],,Algorithms,https://github.com/NVIDIA-ISAAC-ROS/isaac_ros_visual_slam,https://github.com/NVIDIA-ISAAC-ROS/isaac_ros_visual_slam,Apache-2.0,2021-10-13 23:07:14,2025-11-14 18:40:01,2025-10-26 12:18:47,64,1.0,169,17,36.0,63.0,106.0,1198,2025-11-14 18:58:29,4.0-0,17.0,Visual SLAM/odometry package based on NVIDIA-accelerated cuVSLAM.,4,15,True,,,3.0,1.0,
8,Aerial Gym Simulator,ntnu-arl/aerial_gym_simulator,[],,AirSim,https://github.com/ntnu-arl/aerial_gym_simulator,https://ntnu-arl.github.io/aerial_gym_simulator/,BSD-3-Clause,2023-04-04 20:48:46,2025-11-05 14:43:25,2025-11-05 14:42:55,61,3.0,97,17,13.0,12.0,34.0,615,2025-04-28 07:50:13,2.0.0,2.0,Aerial Gym Simulator - Isaac Gym Simulator for Aerial Robots.,4,14,True,,,3.0,-1.0,
9,Swarm Sync Sim,shupx/swarm_sync_sim,[],,AirSim,https://github.com/shupx/swarm_sync_sim,https://github.com/shupx/swarm_sync_sim,BSD-3-Clause,2024-10-27 06:09:01,2025-05-13 08:57:41,2025-03-18 12:46:41,197,,2,1,,,,17,,,,"swarm_sync_sim (also known as sss) is an ultra-lightweight, ROS-based simulator for robotic swarms, including..",6,6,False,,,3.0,-1.0,
